,SalmonPrice,CodPrice,HalibutPrice,CPI,TWI
2015-05-17,38.64,18.576860413253414,63.00328141905358,99.75,105.745
2015-05-24,37.3,17.748564939406393,62.261159573240114,99.8,106.07000000000001
2015-05-31,37.1,19.76452747515907,62.831134081937975,99.8,107.38
2015-06-07,38.93,21.497424625146156,62.425331294597356,99.9,109.578
2015-06-14,40.9,20.73085024605603,62.842683347803806,100.0,109.66
2015-06-21,41.7,21.487286426849465,62.517432120790204,100.1,110.076
2015-06-28,39.95,21.254446647705638,64.21402442008417,100.2,110.13399999999999
2015-07-05,38.69,20.658483118730164,62.836603043148024,100.18,110.87
2015-07-12,42.54,22.84365458035765,61.99133454984617,100.15,113.0
2015-07-19,44.8,21.12532363715844,62.100614298950354,100.12,112.646
2015-07-26,45.83,21.575839480005474,63.40911147303657,100.1,112.904
2015-08-02,44.9,21.17964071677206,64.09698263891032,100.05,112.976
2015-08-09,46.44,21.41473454655764,62.73538709688397,100.0,113.07000000000001
2015-08-16,45.83,20.94282915428763,62.09561272328596,99.95,112.822
2015-08-23,39.65,20.228768753642196,63.102116362373074,99.9,114.04400000000001
2015-08-30,37.36,20.92528727289369,61.841883993855944,99.9,115.13600000000001
2015-09-06,41.56,21.702377318930274,60.96522785436377,100.08,114.61399999999999
2015-09-13,39.94,23.80980600500303,60.90723945188833,100.25,113.816
2015-09-20,38.98,23.156579981285862,60.09236582973002,100.42,113.8
2015-09-27,38.76,21.967598891293093,59.276056128606136,100.6,115.066
2015-10-04,39.22,23.087258656968814,57.69181812574529,100.7,117.026
2015-10-11,41.15,21.537904097328006,50.853387587635055,100.8,114.6
2015-10-18,40.75,20.33737994743112,50.94698186984079,100.9,113.54
2015-10-25,40.7,20.6304876294479,50.442965374973404,101.0,114.072
2015-11-01,42.36,20.44107824382914,50.250695851357015,101.1,116.374
2015-11-08,41.57,20.180223981400374,58.19229754682142,101.2,116.356
2015-11-15,40.55,21.717781818879004,57.692822355193485,101.3,116.564
2015-11-22,43.44,20.301267778674507,56.57786201078695,101.4,116.322
2015-11-29,48.78,21.110960714760598,55.7950416123178,101.4,115.874
2015-12-06,50.63,20.930972842211556,55.57547389407848,101.3,115.494
2015-12-13,50.32,20.723633740158636,54.9999243619537,101.2,117.888
2015-12-20,51.73,20.875181017113725,53.367637505678026,101.1,118.076
2015-12-27,54.49,26.59911233866625,58.00913121429862,101.0,118.25
2016-01-03,59.52,21.834880701756713,63.370197872608884,101.1,118.4975
2016-01-10,64.36,21.688772570688894,62.59951961403474,101.2,119.356
2016-01-17,52.95,21.344117944148174,63.59079704190632,101.3,118.29400000000001
2016-01-24,48.44,20.437381908916716,64.10132535364528,101.4,117.83400000000002
2016-01-31,52.53,20.99300489852992,64.32006485809221,101.4,116.03600000000002
2016-02-07,55.34,20.93120887557505,63.674416424486736,101.52,116.144
